Order ID,Customer ID,Order Date,Order Time,Item Serial,Box Type,Delivery Region,Distance (miles),,
1097456,751898,19/09/2021,20:27,05846,Small,Greater London,35,,
1097457,103222,19/09/2021,23:13,68671,Small,North Wales,175,,
1097458,104011,20/09/2021,01:50,42675,Small,South West,198,,
1097459,137125,20/09/2021,13:54,29018,Small,North Wales,201,,
1097460,979989,20/09/2021,22:42,34041,Small,South East,61,,
1097461,748846,21/09/2021,08:07,03002,Small,South East,77,,
1097462,228367,21/09/2021,14:52,67775,Small,South West,214,,
1097463,271548,22/09/2021,02:00,48025,Small,Greater London,12,,
1097464,326303,22/09/2021,09:39,66973,Small,South East,76,,
1097465,123553,23/09/2021,00:55,99671,Large,South East,61,,
1097466,135532,23/09/2021,03:21,74471,Small,North Wales,176,,
1097467,443556,23/09/2021,07:32,01841,Small,South Wales,155,,
1097468,182113,23/09/2021,20:39,97044,Large,East Midlands,54,,
1097469,799995,23/09/2021,22:21,66425,Small,East Midlands,69,,
1097470,933035,24/09/2021,03:00,05666,Small,South West,268,,
1097471,440376,24/09/2021,18:15,42516,Small,East Midlands,88,,
1097472,284020,25/09/2021,06:11,22538,Small,South West,183,,
1097473,594611,25/09/2021,07:47,79541,Large,South West,285,,
1097474,144910,25/09/2021,13:41,43892,Small,West Midlands,115,,
1097475,564108,26/09/2021,01:35,00293,Small,South East,51,,
1097476,104011,26/09/2021,15:13,54761,Small,South Wales,183,,
1097477,802137,27/09/2021,04:31,27501,Small,South West,152,,
1097478,324723,27/09/2021,12:41,25768,Small,Greater London,47,,
1097479,642730,28/09/2021,02:25,15479,Small,South Wales,238,,
1097480,647482,28/09/2021,13:07,63475,Small,Greater London,11,,
1097481,195492,29/09/2021,00:07,28580,Small,Greater London,32,,
1097482,100131,29/09/2021,04:04,47050,Small,Greater London,45,,
1097483,250735,29/09/2021,15:23,00584,Small,Greater London,35,,
1097484,897042,29/09/2021,20:08,17374,Small,North Wales,177,,
1097485,340798,30/09/2021,11:24,65633,Small,South West,235,,
1097486,495112,30/09/2021,19:49,25656,Small,South East,72,,
1097487,954662,01/10/2021,09:23,92928,Large,South Wales,249,,
1097488,345552,01/10/2021,13:06,97653,Large,Greater London,49,,
1097489,441355,01/10/2021,15:24,20865,Small,South East,74,,
1097490,924816,02/10/2021,02:10,36712,Small,Greater London,37,,
1097491,592179,02/10/2021,08:53,26848,Small,West Midlands,122,,
1097492,195147,02/10/2021,20:26,33089,Small,South East,46,,
1097493,104011,03/10/2021,01:59,79792,Large,Greater London,40,,
1097494,841438,03/10/2021,08:05,03329,Small,North East,263,,
1097495,166856,03/10/2021,21:14,48128,Small,South Wales,201,,
1097496,177073,04/10/2021,00:13,59911,Small,South West,136,,
1097497,103222,04/10/2021,13:31,49981,Small,Greater London,39,,
1097498,536345,04/10/2021,22:47,98445,Large,South East,69,,
1097499,724453,05/10/2021,03:27,98892,Large,South West,87,,
1097500,966428,05/10/2021,12:13,66029,Small,Greater London,9,,
1097501,570584,05/10/2021,18:59,26871,Small,Greater London,11,,
1097502,829786,06/10/2021,01:34,20290,Small,South West,66,,
1097503,104011,06/10/2021,14:07,14664,Small,South West,284,,
1097504,104011,06/10/2021,14:45,25057,Small,Greater London,36,,
1097505,597307,06/10/2021,23:21,02141,Small,East Midlands,79,,
1097506,575932,07/10/2021,13:21,79452,Large,South East,70,,
1097507,950030,07/10/2021,13:48,82279,Large,South East,80,,
1097508,267225,07/10/2021,19:50,04615,Small,West Midlands,131,,
1097509,441378,08/10/2021,04:05,55535,Small,Greater London,45,,
1097510,419297,08/10/2021,08:34,44277,Small,East Midlands,112,,
1097511,738231,08/10/2021,19:47,67105,Small,North East,238,,
1097512,100131,09/10/2021,11:01,63524,Small,South West,299,,
1097513,850229,09/10/2021,23:27,95160,Large,Greater London,8,,
1097514,369693,10/10/2021,08:11,43442,Small,East Midlands,46,,
1097515,640902,10/10/2021,09:07,69531,Small,South West,281,,
1097516,482013,10/10/2021,17:23,57248,Small,South East,51,,
1097517,252501,10/10/2021,22:31,01414,Small,South East,49,,
1097518,718177,11/10/2021,10:35,04996,Small,North East,178,,
1097519,985688,12/10/2021,00:31,32511,Small,South East,53,,
1097520,166211,12/10/2021,02:59,60668,Small,North East,275,,
1097521,118159,12/10/2021,15:39,98018,Large,South Wales,149,,
1097522,945977,12/10/2021,17:37,73655,Small,North Wales,267,,
1097523,142703,13/10/2021,06:02,90882,Large,South East,74,,
1097524,723756,13/10/2021,15:43,34960,Small,Greater London,45,,
1097525,698402,14/10/2021,04:49,18433,Small,South East,70,,
1097526,888790,14/10/2021,09:49,89698,Large,Greater London,33,,
1097527,127729,14/10/2021,12:41,00968,Small,East Midlands,96,,
1097528,766728,14/10/2021,18:30,15376,Small,North East,186,,
1097529,125356,15/10/2021,09:01,04092,Small,West Midlands,122,,
1097530,719146,15/10/2021,09:20,25649,Small,South West,67,,
1097531,520718,15/10/2021,17:35,34603,Small,Greater London,50,,
1097532,863893,15/10/2021,20:36,82129,Large,Greater London,20,,
1097533,760176,15/10/2021,22:29,60899,Small,West Midlands,147,,
1097534,351908,16/10/2021,11:42,23420,Small,South East,50,,
1097535,369643,16/10/2021,23:23,04229,Small,South East,58,,
1097536,643359,17/10/2021,03:59,00874,Small,South East,47,,
1097537,832523,17/10/2021,09:01,29671,Small,South East,44,,
1097538,740875,17/10/2021,10:31,77041,Large,South West,217,,
1097539,636229,17/10/2021,22:51,40270,Small,Greater London,39,,
1097540,741086,18/10/2021,10:42,19016,Small,East Midlands,112,,
1097541,104011,18/10/2021,21:33,94677,Large,Greater London,18,,
1097542,631712,19/10/2021,10:54,90098,Large,West Midlands,136,,
1097543,778270,19/10/2021,19:06,02064,Small,North East,294,,
1097544,664074,20/10/2021,05:01,61562,Small,North East,274,,
1097545,104011,20/10/2021,18:07,02341,Small,South West,79,,
1097546,667025,21/10/2021,08:56,79828,Large,Greater London,44,,
1097547,103222,21/10/2021,15:43,71274,Small,South West,201,,
1097548,100135,21/10/2021,19:10,32366,Small,South West,284,,
1097549,193400,21/10/2021,23:40,77609,Large,Greater London,43,,
1097550,223780,22/10/2021,01:36,11854,Small,Greater London,5,,
1097551,569605,22/10/2021,08:12,71813,Small,South Wales,232,,
1097552,416376,22/10/2021,13:27,18971,Small,South East,53,,
1097553,331680,22/10/2021,18:49,46604,Small,South East,44,,
1097554,736749,23/10/2021,07:09,82653,Large,North East,257,,
1097555,927679,23/10/2021,18:40,88325,Large,South East,78,,
1097556,492706,23/10/2021,19:33,04106,Small,West Midlands,93,,
1097557,261284,24/10/2021,08:32,21857,Small,South East,72,,
1097558,986692,24/10/2021,15:13,35339,Small,North East,191,,
1097559,929990,24/10/2021,20:29,38599,Small,Greater London,43,,
1097560,461010,25/10/2021,12:19,04368,Small,East Midlands,74,,
1097561,103222,25/10/2021,18:49,85174,Large,Greater London,35,,
1097562,708688,26/10/2021,06:33,94389,Large,South East,41,,
1097563,362492,26/10/2021,07:35,84961,Large,South Wales,222,,
1097564,383564,26/10/2021,15:31,99411,Large,West Midlands,132,,
1097565,611656,26/10/2021,22:07,99409,Large,North Wales,140,,
1097566,677977,27/10/2021,09:53,19021,Small,Greater London,21,,
1097567,988801,28/10/2021,01:37,39207,Small,Greater London,42,,
1097568,726749,28/10/2021,06:47,49998,Small,Greater London,38,,
1097569,895325,28/10/2021,10:08,86682,Large,Greater London,28,,
1097570,472825,28/10/2021,13:07,03726,Small,Greater London,26,,
1097571,492555,29/10/2021,00:08,61766,Small,South East,48,,
1097572,163831,29/10/2021,10:52,26033,Small,East Midlands,99,,
1097573,950794,29/10/2021,15:49,58117,Small,North Wales,247,,
1097574,986430,29/10/2021,20:53,12193,Small,East Midlands,92,,
1097575,103222,30/10/2021,00:26,04001,Small,South East,57,,
1097576,958075,30/10/2021,05:11,99920,Large,Greater London,28,,
1097577,438153,30/10/2021,14:55,45532,Small,South East,64,,
1097578,816788,31/10/2021,01:56,82900,Large,East Midlands,77,,
1097579,749093,31/10/2021,03:17,84210,Large,South East,58,,
1097580,780180,31/10/2021,14:48,53753,Small,South West,183,,
1097581,497583,31/10/2021,15:25,15200,Small,South East,65,,
1097582,995819,01/11/2021,00:59,55437,Small,South East,55,,
1097583,677520,01/11/2021,11:48,94856,Large,West Midlands,104,,
1097584,106379,01/11/2021,22:28,31285,Small,South East,53,,
1097585,295659,02/11/2021,10:54,61779,Small,Greater London,7,,
1097586,512057,02/11/2021,12:19,55933,Small,East Midlands,66,,
1097587,944214,02/11/2021,15:09,06164,Small,South Wales,249,,
1097588,694621,03/11/2021,03:36,99493,Large,South West,155,,
1097589,101320,03/11/2021,06:01,11010,Small,Greater London,25,,
1097590,202980,03/11/2021,12:18,18060,Small,South East,78,,
1097591,350599,03/11/2021,19:55,47662,Small,East Midlands,56,,
1097592,321705,04/11/2021,10:35,40983,Small,South West,102,,
1097593,114082,04/11/2021,23:46,77052,Large,South West,193,,
1097594,493462,05/11/2021,13:23,06373,Small,East Midlands,84,,
1097595,767759,05/11/2021,20:18,30109,Small,West Midlands,141,,
1097596,179003,06/11/2021,11:57,64049,Small,Greater London,30,,
1097597,441733,06/11/2021,18:09,21597,Small,East Midlands,69,,
1097598,880439,07/11/2021,05:31,08585,Small,Greater London,15,,
1097599,330317,07/11/2021,20:45,75186,Large,East Midlands,106,,
1097600,398046,08/11/2021,10:35,08253,Small,South East,58,,
1097601,645060,09/11/2021,00:35,53621,Small,Greater London,42,,
1097602,951199,09/11/2021,12:46,22344,Small,Greater London,36,,
1097603,703072,10/11/2021,01:47,58005,Small,East Midlands,74,,
1097604,323007,10/11/2021,08:57,22698,Small,East Midlands,116,,
1097605,617225,10/11/2021,10:43,39751,Small,South East,80,,
1097606,578950,10/11/2021,21:05,95745,Large,South East,40,,
1097607,592331,11/11/2021,08:13,58706,Small,Greater London,17,,
1097608,833882,11/11/2021,16:45,08752,Small,Greater London,24,,
1097609,156857,11/11/2021,20:45,33846,Small,East Midlands,89,,
1097610,384081,12/11/2021,06:06,29944,Small,South East,80,,
1097611,651225,12/11/2021,12:29,29435,Small,South East,58,,
1097612,830903,13/11/2021,04:18,95082,Large,Greater London,30,,
1097613,475476,13/11/2021,19:47,78227,Large,Greater London,23,,
1097614,543915,13/11/2021,22:07,58573,Small,South West,178,,
1097615,671637,14/11/2021,05:39,38413,Small,South West,281,,
1097616,859647,14/11/2021,14:51,60229,Small,Greater London,9,,
1097617,103222,15/11/2021,00:20,93704,Large,South East,49,,
1097618,956893,15/11/2021,08:26,78227,Large,Greater London,10,,
1097619,623481,15/11/2021,22:39,16831,Small,Greater London,5,,
1097620,604438,15/11/2021,22:47,95476,Large,North East,188,,
1097621,674458,16/11/2021,11:32,83348,Large,Greater London,16,,
1097622,121404,16/11/2021,12:05,15111,Small,South West,235,,
1097623,100131,17/11/2021,00:35,12567,Small,Greater London,46,,
1097624,840290,17/11/2021,08:39,83354,Large,West Midlands,150,,
1097625,774042,18/11/2021,00:39,50717,Small,South East,44,,
1097626,271063,18/11/2021,13:27,01444,Small,Greater London,6,,
1097627,127616,19/11/2021,01:47,55513,Small,South West,168,,
1097628,611341,19/11/2021,11:37,90699,Large,Greater London,14,,
1097629,409816,20/11/2021,01:55,02036,Small,West Midlands,152,,
1097630,739142,20/11/2021,03:13,65896,Small,South East,48,,
1097631,103222,20/11/2021,07:05,17839,Small,South East,41,,
1097632,666800,20/11/2021,23:05,27219,Small,South West,147,,
1097633,209398,20/11/2021,23:43,43622,Small,Greater London,31,,
1097634,935464,21/11/2021,07:06,60409,Small,South East,78,,
1097635,697962,21/11/2021,09:29,17357,Small,South Wales,166,,
1097636,540811,21/11/2021,18:33,15071,Small,South East,44,,
1097637,326915,22/11/2021,02:37,28436,Small,South West,210,,
1097638,856055,22/11/2021,02:41,70565,Small,Greater London,30,,
1097639,116873,22/11/2021,16:41,51397,Small,Greater London,23,,
1097640,904061,23/11/2021,08:21,91070,Large,Greater London,43,,
1097641,930061,23/11/2021,13:55,93005,Large,Greater London,20,,
1097642,712616,23/11/2021,20:53,81685,Large,Greater London,41,,
1097643,800718,24/11/2021,12:26,18064,Small,South East,73,,
1097644,110427,24/11/2021,15:51,78340,Large,Greater London,8,,
1097645,736318,24/11/2021,19:49,79505,Large,South Wales,242,,
1097646,570375,25/11/2021,03:09,22320,Small,South West,57,,
1097647,829928,25/11/2021,06:49,11528,Small,South East,49,,
1097648,830783,25/11/2021,20:11,20950,Small,South East,67,,
1097649,980000,25/11/2021,22:49,97766,Large,East Midlands,68,,
1097650,554520,26/11/2021,14:01,71302,Small,South East,41,,
1097651,104901,26/11/2021,18:52,88696,Large,East Midlands,54,,
1097652,299703,27/11/2021,09:24,40365,Small,South Wales,165,,
1097653,124103,27/11/2021,12:47,99735,Large,West Midlands,90,,
1097654,178256,27/11/2021,16:25,58516,Small,South East,49,,
1097655,325601,28/11/2021,05:20,01202,Small,South West,161,,
1097656,712555,28/11/2021,14:07,25385,Small,South West,249,,
1097657,274822,29/11/2021,03:57,21170,Small,South East,68,,
1097658,996096,29/11/2021,19:46,96533,Large,South East,41,,
1097659,948682,30/11/2021,08:22,80437,Large,North Wales,270,,
1097660,378244,30/11/2021,23:04,44826,Small,Greater London,45,,
1097661,449457,01/12/2021,13:06,58989,Small,Greater London,24,,
1097662,123998,02/12/2021,06:33,16834,Small,Greater London,44,,
1097663,103222,02/12/2021,14:56,27709,Small,Greater London,40,,
1097664,596569,03/12/2021,05:09,21572,Small,Greater London,8,,
1097665,484953,03/12/2021,16:15,42258,Small,South West,69,,
1097666,104011,03/12/2021,19:56,25289,Small,Greater London,32,,
1097667,468276,04/12/2021,03:41,58958,Small,South West,198,,
1097668,630924,04/12/2021,07:03,11394,Small,South East,64,,
1097669,653872,05/12/2021,02:33,33082,Small,Greater London,5,,
1097670,428776,05/12/2021,17:00,69982,Small,Greater London,13,,
1097671,103222,05/12/2021,19:30,41972,Small,South West,224,,
1097672,985188,06/12/2021,19:04,01898,Small,South East,55,,
1097673,555833,07/12/2021,08:14,60992,Small,South East,64,,
1097674,344932,07/12/2021,20:38,01458,Small,South West,122,,
1097675,341432,08/12/2021,15:36,70619,Small,South West,125,,
1097676,972736,09/12/2021,14:42,75667,Large,West Midlands,104,,
1097677,622376,09/12/2021,21:58,78065,Large,South West,186,,
1097678,482014,10/12/2021,06:53,65137,Small,South Wales,154,,
1097679,963348,10/12/2021,21:07,16047,Small,South East,65,,
1097680,784315,11/12/2021,19:48,69915,Small,South East,57,,
1097681,386795,12/12/2021,19:29,11826,Small,South West,113,,
1097682,103222,13/12/2021,01:48,28567,Small,South East,67,,
1097683,278191,13/12/2021,08:29,97663,Large,Greater London,13,,
1097684,538656,13/12/2021,12:57,69830,Small,South East,43,,
1097685,104011,13/12/2021,17:49,28443,Small,North East,183,,
1097686,345665,13/12/2021,19:09,65332,Small,South West,48,,
1097687,883388,13/12/2021,21:21,78988,Large,Greater London,43,,
1097688,342470,14/12/2021,12:08,73677,Small,North East,258,,
1097689,103222,15/12/2021,05:07,41635,Small,North East,276,,
1097690,103222,15/12/2021,07:14,38280,Small,East Midlands,78,,
1097691,950649,15/12/2021,09:10,30251,Small,South West,268,,
1097692,776122,16/12/2021,03:59,89576,Large,North East,218,,
1097693,842005,16/12/2021,04:07,04625,Small,East Midlands,45,,
1097694,514638,16/12/2021,20:49,95929,Large,South East,55,,
1097695,328089,17/12/2021,20:13,55203,Small,South East,77,,
1097696,894185,18/12/2021,08:33,24273,Small,West Midlands,158,,
1097697,729832,18/12/2021,16:05,50295,Small,North Wales,244,,
1097698,234555,19/12/2021,01:01,65603,Small,South East,60,,
1097699,712306,19/12/2021,05:48,44249,Small,Greater London,44,,
1097700,992498,19/12/2021,13:24,52092,Small,Greater London,36,,
1097701,246796,20/12/2021,06:39,44142,Small,South East,77,,
1097702,103222,21/12/2021,05:43,49203,Small,Greater London,22,,
1097703,557282,21/12/2021,12:32,08704,Small,North East,285,,
1097704,101985,22/12/2021,07:09,36739,Small,South East,68,,
1097705,276334,22/12/2021,10:24,24715,Small,South East,72,,
1097706,287239,22/12/2021,13:12,49442,Small,South East,49,,
1097707,847095,23/12/2021,09:24,08403,Small,South East,60,,
1097708,284328,24/12/2021,02:46,61463,Small,Greater London,22,,
1097709,974095,25/12/2021,00:40,94083,Large,South West,183,,
1097710,394269,25/12/2021,23:27,27870,Small,Greater London,22,,
1097711,822684,25/12/2021,23:53,20256,Small,South Wales,220,,
1097712,337693,26/12/2021,09:51,48087,Small,Greater London,40,,
1097713,255066,27/12/2021,00:00,39247,Small,North East,227,,
1097714,330772,27/12/2021,17:22,94525,Large,East Midlands,87,,
1097715,103222,28/12/2021,14:55,17747,Small,South West,285,,
1097716,256554,29/12/2021,14:10,28046,Small,Greater London,34,,
1097717,926026,30/12/2021,14:04,54736,Small,Greater London,50,,
1097718,276730,31/12/2021,11:05,13104,Small,South Wales,168,,
1097719,378716,01/01/2022,07:39,39886,Small,Greater London,22,,
1097720,913968,02/01/2022,01:22,21459,Small,South Wales,150,,
1097721,280395,02/01/2022,20:30,32523,Small,South Wales,158,,
1097722,920639,03/01/2022,14:58,24668,Small,Greater London,45,,
1097723,825114,03/01/2022,21:11,48795,Small,Greater London,33,,
1097724,371373,04/01/2022,08:01,10416,Small,North East,300,,
1097725,701036,05/01/2022,02:04,40132,Small,South West,170,,
1097726,873121,05/01/2022,23:36,91618,Large,South East,78,,
1097727,996684,06/01/2022,06:08,13049,Small,Greater London,18,,
1097728,205300,06/01/2022,23:40,78826,Large,South Wales,224,,
1097729,198372,07/01/2022,16:47,90637,Large,North East,205,,
1097730,929793,07/01/2022,18:46,08899,Small,West Midlands,95,,
1097731,104011,08/01/2022,10:15,11357,Small,Greater London,41,,
1097732,285002,08/01/2022,17:02,25328,Small,South East,70,,
1097733,508857,09/01/2022,10:06,50608,Small,Greater London,48,,
1097734,652857,10/01/2022,02:26,59334,Small,South East,72,,
1097735,757427,10/01/2022,17:20,96470,Large,Greater London,16,,
1097736,938389,11/01/2022,10:39,18771,Small,Greater London,49,,
1097737,826071,11/01/2022,20:47,54488,Small,Greater London,43,,
1097738,187285,12/01/2022,04:08,99585,Large,North East,178,,
1097739,607323,12/01/2022,13:50,99752,Large,East Midlands,105,,
1097740,651735,13/01/2022,05:06,85985,Large,Greater London,6,,
1097741,140670,13/01/2022,14:59,76308,Large,Greater London,34,,
1097742,887619,13/01/2022,20:20,40963,Small,East Midlands,90,,
1097743,208019,14/01/2022,14:15,16737,Small,East Midlands,45,,
1097744,716568,15/01/2022,00:17,54591,Small,Greater London,18,,
1097745,801981,15/01/2022,20:51,09855,Small,South East,64,,
1097746,876821,16/01/2022,08:18,34155,Small,Greater London,25,,
1097747,104011,16/01/2022,13:06,37904,Small,Greater London,45,,
1097748,872045,17/01/2022,05:59,62985,Small,South East,75,,
1097749,608304,17/01/2022,15:14,67346,Small,East Midlands,53,,
1097750,805748,18/01/2022,13:45,30366,Small,South West,124,,
1097751,877365,19/01/2022,08:21,32400,Small,South East,45,,
1097752,500092,19/01/2022,11:46,01991,Small,Greater London,15,,
1097753,104011,19/01/2022,16:36,57633,Small,Greater London,46,,
1097754,936249,20/01/2022,03:11,98089,Large,Greater London,8,,
1097755,733446,20/01/2022,22:59,73071,Small,Greater London,28,,
1097756,226667,21/01/2022,12:01,96916,Large,South Wales,237,,
1097757,529783,21/01/2022,13:11,31418,Small,Greater London,5,,
1097758,119752,22/01/2022,10:15,89392,Large,Greater London,6,,
1097759,851526,22/01/2022,22:21,63443,Small,South West,251,,
1097760,103222,23/01/2022,16:35,96107,Large,North East,201,,
1097761,104011,24/01/2022,00:43,21079,Small,Greater London,17,,
1097762,261014,24/01/2022,04:34,80440,Large,Greater London,15,,
1097763,483828,24/01/2022,18:38,99947,Large,North East,246,,
1097764,733560,24/01/2022,18:56,50034,Small,North Wales,215,,
1097765,768431,25/01/2022,14:00,19700,Small,South East,61,,
1097766,863034,26/01/2022,10:37,07595,Small,South East,60,,
1097767,102630,26/01/2022,20:31,21129,Small,Greater London,20,,
1097768,232989,27/01/2022,18:29,79200,Large,South West,132,,
1097769,137354,28/01/2022,11:14,50990,Small,Greater London,29,,
1097770,983490,28/01/2022,13:54,21398,Small,Greater London,37,,
1097771,721717,29/01/2022,07:15,43613,Small,Greater London,43,,
